"fbi_city_name","fbi_state"
"Athens-clarke County","GA"
"Avonmore Boro","PA"
"Baldwin Borough","PA"
"Bay Harbor Island","FL"
"Bella Vista","AR"
"Bristol Bay Borough","AK"
"Carmel","CA"
"Carney's Point Township","NJ"
"Centennial Lakes","MN"
"Center","CO"
"Center","MO"
"Center","TX"
"Central Berks Regional","PA"
"Chincoteague","VA"
"Colebrookdale District","PA"
"Colonial Regional","PA"
"Dania","FL"
"De Quincy","LA"
"De Ridder","LA"
"Deland","FL"
"Dublin Borough","PA"
"Eastern Adams Regional","PA"
"Eastern Pike Regional","PA"
"Emlenton Borough","PA"
"Everest","WI"
"Fox Valley","WI"
"Guilford","CT"
"Harleton","PA"
"Indian Hill","OH"
"Jasco Metropolitan","MO"
"Jefferson Hills Borough","PA"
"Juniata Valley Regional","PA"
"Lacy Lakeview","TX"
"Laflin Borough","PA"
"Lake Royale","NC"
"Lake Shastina","CA"
"Lakes Area","MN"
"Longview","NC"
"Louisville Metro","KY"
"Madison","CT"
"Manchester","CT"
"Mcdonald Borough","PA"
"Mcgraw Village","NY"
"Memorial Villages","TX"
"Merrimack","NH"
"Milton","NH"
"Morgans Point Resort","TX"
"Mount Gretna Borough","PA"
"Nazareth Area","PA"
"North","SC"
"North Attleboro","MA"
"North Park","UT"
"North Slope Borough","AK"
"Northeastern Regional","PA"
"Northern Berks Regional","PA"
"Northern Cambria Borough","PA"
"Northern Regional","PA"
"Northern York Regional","PA"
"Northwest Lancaster County Regional","PA"
"Northwest Lawrence County Regional","PA"
"Nunda Town And Village","NY"
"Opa Locka","FL"
"Orangeville Area","PA"
"Oronoko Township (and Berrien Springs)","MI"
"Owens Crossroads","AL"
"Paden City","WV"
"Patterson Area","PA"
"Peapack-gladstone","NJ"
"Pennridge Regional","PA"
"Plummerville","AR"
"Pocono Mountain Regional","PA"
"Redington Beaches","FL"
"Resa Regional","PA"
"Rollinsford","NH"
"Sauk Prairie","WI"
"Sea Tac","WA"
"Sedro Woolley","WA"
"Simsbury","CT"
"South Connellsville Borough","PA"
"South Eastern Faribault","MN"
"South Eastern Faribault County","MN"
"South Lake Minnetonka","MN"
"Southern Regional Lancaster County","PA"
"Southern Regional York County","PA"
"Southern Regional, Lancaster County","PA"
"Southern Regional, York County","PA"
"Southwest City","MO"
"Southwest Mercer County Regional","PA"
"Southwestern Regional","PA"
"St. Clair Boro","PA"
"Stroud Area Regional","PA"
"Sullivans Island","SC"
"Swan's Island","ME"
"Upper Perkiomen","PA"
"Valley","AL"
"Wa Keeney","KS"
"Wallingford","CT"
"Waterford","CT"
"West","TX"
"West Grove Borough","PA"
"West Hennepin","MN"
"West Mayfield Borough","PA"
"West Shore Regional","PA"
"West Valley","UT"
"Whitaker Borough","PA"
"White Haven Borough","PA"
"Woodland Park","NJ"
"York Area Regional","PA"
